Linguagem,Memoria_RAM,Nucleo,Media_tempo_de_resposta
C#,250,0.5,0.32155
C#,250,0.5,0.25154
C#,250,0.5,0.24373
C#,250,1,0.28869
C#,250,1,0.12870
C#,250,1,0.13418
C#,250,2,0.13474
C#,250,2,0.11249
C#,250,2,0.10848
C#,500,0.5,0.38593
C#,500,0.5,0.22550
C#,500,0.5,0.21563
C#,500,1,0.29004
C#,500,1,0.13128
C#,500,1,0.13276
C#,500,2,0.12589
C#,500,2,0.10728
C#,500,2,0.10356
C#,1000,0.5,0.40332
C#,1000,0.5,0.21599
C#,1000,0.5,0.23073
C#,1000,1,0.28676
C#,1000,1,0.12558
C#,1000,1,0.14724
C#,1000,2,0.13304
C#,1000,2,0.11016
C#,1000,2,0.10392
Go,250,0.5,0.08924
Go,250,0.5,0.13340
Go,250,0.5,0.11065
Go,250,1,0.09109
Go,250,1,0.08731
Go,250,1,0.09441
Go,250,2,0.10491
Go,250,2,0.10770
Go,250,2,0.10612
Go,500,0.5,0.13786
Go,500,0.5,0.13577
Go,500,0.5,0.16914
Go,500,1,0.09565
Go,500,1,0.10758
Go,500,1,0.10655
Go,500,2,0.10684
Go,500,2,0.09659
Go,500,2,0.11812
Go,1000,0.5,0.16114
Go,1000,0.5,0.15268
Go,1000,0.5,0.20663
Go,1000,1,0.10493
Go,1000,1,0.10115
Go,1000,1,0.08706
Go,1000,2,0.09025
Go,1000,2,0.09776
Go,1000,2,0.10143
Java,250,0.5,1.04000
Java,250,0.5,0.67263
Java,250,0.5,0.94373
Java,250,1,0.50198
Java,250,1,0.20956
Java,250,1,0.16158
Java,250,2,0.18691
Java,250,2,0.05744
Java,250,2,0.04766
Java,500,0.5,0.98218
Java,500,0.5,0.44431
Java,500,0.5,0.33268
Java,500,1,0.51077
Java,500,1,0.19418
Java,500,1,0.13722
Java,500,2,0.16752
Java,500,2,0.03976
Java,500,2,0.04127
Java,1000,0.5,1.01000
Java,1000,0.5,0.46630
Java,1000,0.5,0.34089
Java,1000,1,0.46403
Java,1000,1,0.15072
Java,1000,1,0.09691
Java,1000,2,0.15184
Java,1000,2,0.04304
Java,1000,2,0.03839
JavaScript,250,0.5,0.47478
JavaScript,250,0.5,0.46902
JavaScript,250,0.5,0.44454
JavaScript,250,1,0.10850
JavaScript,250,1,0.10271
JavaScript,250,1,0.10093
JavaScript,250,2,0.09794
JavaScript,250,2,0.09250
JavaScript,250,2,0.09149
JavaScript,500,0.5,0.47921
JavaScript,500,0.5,0.47400
JavaScript,500,0.5,0.47703
JavaScript,500,1,0.10242
JavaScript,500,1,0.09756
JavaScript,500,1,0.09893
JavaScript,500,2,0.09375
JavaScript,500,2,0.09414
JavaScript,500,2,0.09098
JavaScript,1000,0.5,0.51680
JavaScript,1000,0.5,0.49754
JavaScript,1000,0.5,0.50226
JavaScript,1000,1,0.11793
JavaScript,1000,1,0.10961
JavaScript,1000,1,0.10682
JavaScript,1000,2,0.09440
JavaScript,1000,2,0.09355
JavaScript,1000,2,0.09303
PHP,250,0.5,4.99000
PHP,250,0.5,5.00000
PHP,250,0.5,5.00000
PHP,250,1,4.98000
PHP,250,1,5.00000
PHP,250,1,5.00000
PHP,250,2,2.46000
PHP,250,2,2.45000
PHP,250,2,2.36000
PHP,500,0.5,4.99000
PHP,500,0.5,5.00000
PHP,500,0.5,5.00000
PHP,500,1,4.98000
PHP,500,1,5.00000
PHP,500,1,5.00000
PHP,500,2,2.34000
PHP,500,2,2.30000
PHP,500,2,2.33000
PHP,1000,0.5,4.99000
PHP,1000,0.5,5.00000
PHP,1000,0.5,5.00000
PHP,1000,1,4.97000
PHP,1000,1,5.00000
PHP,1000,1,5.00000
PHP,1000,2,2.42000
PHP,1000,2,2.38000
PHP,1000,2,2.31000
Python,250,0.5,1.25000
Python,250,0.5,1.21000
Python,250,0.5,1.27000
Python,250,1,0.53789
Python,250,1,0.44417
Python,250,1,0.44708
Python,250,2,0.51963
Python,250,2,0.42884
Python,250,2,0.44453
Python,500,0.5,1.14000
Python,500,0.5,1.17000
Python,500,0.5,1.18000
Python,500,1,0.54144
Python,500,1,0.41794
Python,500,1,0.44966
Python,500,2,0.42015
Python,500,2,0.45753
Python,500,2,0.47140
Python,1000,0.5,1.25000
Python,1000,0.5,1.24000
Python,1000,0.5,1.25000
Python,1000,1,0.42430
Python,1000,1,0.47086
Python,1000,1,0.47040
Python,1000,2,0.41606
Python,1000,2,0.46222
Python,1000,2,0.45636
Ruby,250,0.5,2.73000
Ruby,250,0.5,2.72000
Ruby,250,0.5,2.65000
Ruby,250,1,1.04000
Ruby,250,1,1.05000
Ruby,250,1,0.94918
Ruby,250,2,0.45747
Ruby,250,2,0.44203
Ruby,250,2,0.44011
Ruby,500,0.5,2.61000
Ruby,500,0.5,2.55000
Ruby,500,0.5,2.74000
Ruby,500,1,0.96832
Ruby,500,1,0.93722
Ruby,500,1,0.99677
Ruby,500,2,0.49742
Ruby,500,2,0.49278
Ruby,500,2,0.49322
Ruby,1000,0.5,2.60000
Ruby,1000,0.5,2.64000
Ruby,1000,0.5,2.66000
Ruby,1000,1,0.96756
Ruby,1000,1,0.97771
Ruby,1000,1,0.96826
Ruby,1000,2,0.50746
Ruby,1000,2,0.49804
Ruby,1000,2,0.50227
Rust,250,0.5,0.02237
Rust,250,0.5,0.02031
Rust,250,0.5,0.02107
Rust,250,1,0.02031
Rust,250,1,0.01838
Rust,250,1,0.01952
Rust,250,2,0.02283
Rust,250,2,0.02098
Rust,250,2,0.02161
Rust,500,0.5,0.02108
Rust,500,0.5,0.02111
Rust,500,0.5,0.02173
Rust,500,1,0.02350
Rust,500,1,0.02123
Rust,500,1,0.01996
Rust,500,2,0.02194
Rust,500,2,0.02191
Rust,500,2,0.02119
Rust,1000,0.5,0.02276
Rust,1000,0.5,0.02074
Rust,1000,0.5,0.02249
Rust,1000,1,0.02198
Rust,1000,1,0.02095
Rust,1000,1,0.02178
Rust,1000,2,0.02273
Rust,1000,2,0.02142
Rust,1000,2,0.02198
